slug	rawpath	technique	family	severity	tags	source_sha256	review_status
http-attacks-tls-attacks-compression	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/Compression.md	Compression	http-protocol	low		e5ce1665f87d6cb7b870fc434d8a35a8697b68cf2761633ed135cb8dbc8c94f9	imported-unreviewed
http-attacks-tls-attacks-crime-and-breach	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/CRIME & BREACH.md	CRIME & BREACH	http-protocol	low		2439981527ad3591e4f1ca5ddbbcd83a6ec97f2b88ba9fe7f57520f58ff51b34	imported-unreviewed
http-attacks-tls-attacks-cryptographic-atks	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/Cryptographic Atks.md	Cryptographic Atks	http-protocol	low		b74eed868bbbfd198a0e7b13aa95a0fcdc3c22fd8c3947db634b596c5b609026	imported-unreviewed
http-attacks-tls-attacks-downgrade-attacks	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/Downgrade Attacks.md	Downgrade Attacks	http-protocol	low		1cd61fab955b48f31ebd56d26ca1881f387580809737889f65ed8ee9e472f28b	imported-unreviewed
http-attacks-tls-attacks-padding-oracles	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/Padding Oracles.md	Padding Oracles	http-protocol	low		f64d5aca4de4977f4468b897f17c872055439b3be843118240faa6a1cd7c180d	imported-unreviewed
http-attacks-tls-attacks-pki	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/PKI.md	PKI	http-protocol	low		59c6f273c9aa585e6785fe0d0c268dd1cf217ba9a7f09e90a91cebbdb024af3d	imported-unreviewed
http-attacks-tls-attacks-poodle-and-beast	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/POODLE & BEAST.md	POODLE & BEAST	http-protocol	low		45cfe3885fd599bc5058f2df9367031c98ebc03dea30f09c550ba37e77fd437a	imported-unreviewed
http-attacks-tls-attacks-ssl-stripping	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/SSL Stripping.md	SSL Stripping	http-protocol	low		82231d37464755d31eca840fe2dd1ba73b6f1f1020e5e34390616b1490dfbd6c	imported-unreviewed
http-attacks-tls-attacks-testing-tls-configuration	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/Testing TLS Configuration.md	Testing TLS Configuration	http-protocol	low		308c96d95b1fec796932a6df0b752354d7580a030079068f0a33106895662e72	imported-unreviewed
http-attacks-tls-attacks-the-heartbleed-bug	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/The Heartbleed Bug.md	The Heartbleed Bug	http-protocol	low		db04a1228111a66ecedfff468bfea0a9c9106e0387e32e7e6e81c6d719854cd7	imported-unreviewed
http-attacks-tls-attacks-tls-1-2-handshake	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/TLS 1 2 Handshake.md	TLS 1.2 Handshake	http-protocol	low		f6a8319d9c8f0bb55d21bf4bdb04e0ab334984701da736dc76c7caae83ee46bc	imported-unreviewed
http-attacks-tls-attacks-tls-1-3	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/TLS 1 3.md	TLS 1.3	http-protocol	low		9c5a07550871ba72526935f9dff85c9544a59cb12bf562340a4736acf7990ffc	imported-unreviewed
http-attacks-verb-tampering	Web attacks/Web Attacks/HTTP Attacks/Verb Tampering.md	Verb Tampering	http-protocol	medium		0c57a6455e7fce842c441b4a89692fd9c1276c08abee9de2372ca4bc72771fb0	imported-unreviewed
http-attacks-verb-tampering-1-introduction-to-http-verb-tampering-info	Web attacks/Web Attacks/HTTP Attacks/Verb Tampering/1_Introduction_to_HTTP_verb_Tampering_INFO.md	1_Introduction_to_HTTP_verb_Tampering_INFO	http-protocol	low		617e01935f5800316d849402c9dd922e354b86ce3677fce91a2eaeac83d0e1ea	imported-unreviewed
http-attacks-verb-tampering-2-bypassing-basic-authentication-info	Web attacks/Web Attacks/HTTP Attacks/Verb Tampering/2_Bypassing_Basic_Authentication_INFO.md	2_Bypassing_Basic_Authentication_INFO	http-protocol	high		4c5672236f46468f0422d556fcb333f07aa2c86e697789856af06fea861110d1	imported-unreviewed
http-attacks-verb-tampering-3-bypassing-security-filters-info	Web attacks/Web Attacks/HTTP Attacks/Verb Tampering/3_Bypassing_Security_Filters_INFO.md	3_Bypassing_Security_Filters_INFO	http-protocol	low		a921c2c08438e7b493a625ec5d0a0521a4d3f020014dab7aa8ff9737c395e707	imported-unreviewed
http-attacks-verb-tampering-4-verb-tampering-prevention-info	Web attacks/Web Attacks/HTTP Attacks/Verb Tampering/4_Verb_Tampering_Prevention_INFO.md	4_Verb_Tampering_Prevention_INFO	http-protocol	low		537bf9f6268b64bb92b484981415b1e4cf0f1790f7b1ee19ca566e75c19fba2b	imported-unreviewed
idor	Web attacks/Web Attacks/IDOR.md	IDOR	access-control	high	Authentication,HTTP,Auth	37c191e1d8a8f7e7a014acffbdd2b6bdbfeaa7fcb11dee3a9cf6482b858a0dfe	imported-unreviewed
jwt	Web attacks/Web Attacks/JWT.md	JWT	auth-session	high	Session Tokens,Account Takeover,XSS,JavaScript,Auth,HTTP	c5f6e36adb4663969ccf166cd6713670eda98a31eb0facfd888cfac7769cda6b	imported-unreviewed
ldap-injections	Web attacks/Web Attacks/LDAP Injections.md	LDAP Injections	injection	medium	LDAP,Microsoft,Authentication,Account Takeover	bbafda014298279cb206b6080cafee092d243c3dea56c890a0b22f6f6675db7a	imported-unreviewed
ldap-injections-ldap-authentication-bypass	Web attacks/Web Attacks/LDAP Injections/LDAP - Authentication Bypass.md	LDAP - Authentication Bypass	injection	high		001b675f973e3d63c93a7f80198fcceb0321ed6ed22e03791ba48226e21e8f54	imported-unreviewed
ldap-injections-ldap-blind-exploitation	Web attacks/Web Attacks/LDAP Injections/LDAP - Blind Exploitation.md	LDAP - Blind Exploitation	injection	medium		a56f278f0d34bd9d4828657601a3aa1ff9e0386e168b1b25047f92bee885d763	imported-unreviewed
ldap-injections-ldap-injection-prevention	Web attacks/Web Attacks/LDAP Injections/LDAP Injection Prevention.md	LDAP Injection Prevention	injection	medium		2be5209044bf8323c028e5e9200454c01cbe5ddbfbd2c45bbb7bdbe3407bbf4f	imported-unreviewed
lfi	Web attacks/Web Attacks/LFI.md	LFI	ssrf-xxe-file	critical	LFI,Remote Code Execution,JavaScript,PHP,File Upload	393dee83f6efa5b80ec7d5cb5ce40f231539fc67f02a1f1575c89f90b6930e6e	imported-unreviewed
llm	Web attacks/Web Attacks/LLM.md	LLM	agentic-ai	medium	LLM,SSRF,XSS,Account Takeover	bab03d606838baddfb86f279ccc6b75f8a78a6814a881753a36d3e54ac7a5472	imported-unreviewed
oauth2	Web attacks/Web Attacks/oAuth2.md	oAuth2	auth-session	high	Authentication,XSS,Request Smuggling,CSRF,Open Redirect,Account Takeover,Auth	938f9e35e8c687467d81a6ba342c2ed64e1b86f30da8ad0b35d94f1de6a109aa	imported-unreviewed
oauth2-attack-via-google-oauth2-playground	Web attacks/Web Attacks/oAuth2/Attack via Google oAuth2 Playground.md	Attack via Google oAuth2 Playground	auth-session	high		0b310057c57bd6e24982f4a79ef196d81031d2311d26de37458f0ee79eb7eb92	imported-unreviewed
open-redirection	Web attacks/Web Attacks/Open Redirection.md	Open Redirection	client-side	medium	XSS,Deserialization,Open Redirect,JavaScript,HTTP	8634688fafd91a9db195fac32f5b0ae30dfe25d4869e2fa5705be5c7949b24d8	imported-unreviewed
os-command-injection	Web attacks/Web Attacks/OS Command Injection.md	OS Command Injection	injection	critical	Remote Code Execution	4d4924b2ffab810d7fbd5796ad7693925745ec699e66a041b6d958cb72deb9ed	imported-unreviewed
parameter-pollution	Web attacks/Web Attacks/Parameter Pollution.md	Parameter Pollution	http-protocol	medium	HTTP,Open Redirect	108622864c3a14812fd2df7a00531c636f73f6128469e603965005a6226c22a9	imported-unreviewed
pdf-generators	Web attacks/Web Attacks/PDF Generators.md	PDF Generators	ssrf-xxe-file	medium	HTTP,PDF,SSRF,XSS,JavaScript	882d1481ebb6e24a1e920f4f75d2aa7b013b1c317bc4fa9a4e73de3bc38f2950	imported-unreviewed
php-filter-chain-lfi-rce	Web attacks/Web Attacks/PHP filter chain (LFI→ RCE).md	PHP filter chain (LFI→ RCE)	ssrf-xxe-file	critical	PHP,Remote Code Execution,Deserialization,HTTP	e0fef96a1a851134ff6f16f7a0786c9748657f9b6f1a46f2164f168df4ff9a1d	imported-unreviewed
prototype-pollution	Web attacks/Web Attacks/Prototype Pollution.md	Prototype Pollution	client-side	medium	JavaScript,Account Takeover,XSS,403,Remote Code Execution,HTTP,JS	207e2bcc7b9d9d33acbcddea3270df61914b9ea56ff0e05246a6880e59fe8652	imported-unreviewed
prototype-pollution-clientside-pp	Web attacks/Web Attacks/Prototype Pollution/Clientside PP.md	Clientside PP	client-side	medium		7eeb1d65bf23ad7ccbdfb4b12f52a96f9328aacc8d710bbf605c317af696d774	imported-unreviewed
prototype-pollution-filter-bypasses	Web attacks/Web Attacks/Prototype Pollution/Filter Bypasses.md	Filter Bypasses	client-side	medium		bfaf3cc1ecd957ed10d5ea08a8ca06ddd64e0dd6e21e6cabb6513ff2f6e3420a	imported-unreviewed
prototype-pollution-introduction-to-prototype-pollution	Web attacks/Web Attacks/Prototype Pollution/Introduction to Prototype Pollution.md	Introduction to Prototype Pollution	client-side	medium		8efe55376eb18a7d1893e1d25b0a9ea0d9a1b8f6eb00a97aadd0a441ff9fb252	imported-unreviewed
prototype-pollution-javascript-objects-and-prototypes	Web attacks/Web Attacks/Prototype Pollution/JavaScript Objects & Prototypes.md	JavaScript Objects & Prototypes	client-side	medium		6c71c45ee7d5a6d8d901c4bd281724e6c2a6adb982eb6af348e69cac2350d77b	imported-unreviewed
prototype-pollution-privilege-escalation	Web attacks/Web Attacks/Prototype Pollution/Privilege Escalation.md	Privilege Escalation	client-side	medium		ca186b48758fa8110613a06c9643ae0d0a572590c10572dca5730952567cdea1	imported-unreviewed
prototype-pollution-remarks	Web attacks/Web Attacks/Prototype Pollution/Remarks.md	Remarks	client-side	medium		99d9bda4f838cf205618cf0981bb313c47bbf8599d63b586f3b44999c3f0e5ac	imported-unreviewed
prototype-pollution-remote-code-execution	Web attacks/Web Attacks/Prototype Pollution/Remote Code Execution.md	Remote Code Execution	client-side	critical		9ca4d22765315f1f621e2c291fcd17d18044d94650ae07f0e61574ee2dc88232	imported-unreviewed
race-conditions-and-timing-attacks	Web attacks/Web Attacks/Race Conditions & Timing Attacks.md	Race Conditions & Timing Attacks	misc	medium	Race Condition,User Enumeration,HTTP	4e35690df77afbcc57739a19cd173851855835052c295e2d41dc979b4d99dae3	imported-unreviewed
race-conditions-and-timing-attacks-data-exfiltration-via-response-timing	Web attacks/Web Attacks/Race Conditions & Timing Attacks/Data Exfiltration via Response Timing.md	Data Exfiltration via Response Timing	misc	medium		073615d6c106a2b70ed66d1394dcc93ab9b9ad621e6a6221647d8de3fecd7751	imported-unreviewed
race-conditions-and-timing-attacks-general	Web attacks/Web Attacks/Race Conditions & Timing Attacks/General.md	General	misc	medium		4d6cf9f481e021ae1d07e877d1c573a0584293ab7a7f1166bf025235165ea4f7	imported-unreviewed
race-conditions-and-timing-attacks-race-conditions	Web attacks/Web Attacks/Race Conditions & Timing Attacks/Race Conditions.md	Race Conditions	misc	medium		697c4746a2c6e08230ab2cede94ea2db1d98ae8e3d1a9bff60e0368c889925f5	imported-unreviewed
race-conditions-and-timing-attacks-user-enumeration-via-response-timing	Web attacks/Web Attacks/Race Conditions & Timing Attacks/User Enumeration via Response Timing.md	User Enumeration via Response Timing	misc	medium		cf5c006d9b74be2150fcec1a95e640d8768967c59b74fe5ee22019ed60c450e3	imported-unreviewed
rate-limit-bypass	Web attacks/Web Attacks/Rate-Limit Bypass.md	Rate-Limit Bypass	auth-session	medium	Rate-Limit,HTTP	9c9d3534abe9eda4a40709a79dcc33698a161d655ca435c788bd511a9e8a91c8	imported-unreviewed
saml	Web attacks/Web Attacks/SAML.md	SAML	auth-session	high	Authentication,SAML,API,Account Takeover,XXE,HTTP,Auth	92d39bf9a06270901f25a1729a889628a5459d1147e11ce517e3736f3423fc19	imported-unreviewed
shells	Web attacks/Web Attacks/Shells.md	Shells	misc	medium		7805da4bc1821aa2f762941fbd72e5e7002e0e5d5110e97f479c365b30d40c4b	imported-unreviewed
sign-up-login-register	Web attacks/Web Attacks/Sign Up (Login Register).md	Sign Up (Login / Register)	auth-session	medium	DoS,Account Takeover,XSS,User Enumeration,SQL Injection,JavaScript,HTTP	ef44525699ef8e2253a5a539c9bcd240346e9c10d9133da0804cd673040396ac	imported-unreviewed
sign-up-login-register-weak-password-policy	Web attacks/Web Attacks/Sign Up (Login Register)/Weak Password Policy.md	Weak Password Policy	auth-session	medium		0495426ddee6e971144aa9678608147759140b6525543550241466087efdcf81	imported-unreviewed
smtp-header-injection	Web attacks/Web Attacks/SMTP Header injection.md	SMTP Header injection	misc	medium	SMTP,EMail	b0d461b1e958abdf0f957d055e8f42d434130426ac5057c08208009ba83339bd	imported-unreviewed
sqli	Web attacks/Web Attacks/SQLi.md	SQLi	injection	critical	SQL Injection,Remote Code Execution,Account Takeover,NTLM,SQL	a45fb840dd005747aee501ff3225d3947341373cb6e4028175c574c637cf338b	imported-unreviewed
